Species,Longitude ,Lautitude,State,Location
English Oak,-37.7944,145.36,Victoria,Yarra Ranges (S)
English Oak,-37.5169,143.8244,Victoria,Ballarat (C)
English Oak,-38.1611,145.1111,Victoria,Frankston (C)
English Oak,-37.7252,145.2425,Victoria,Nillumbik (S)
English Oak,-38.3733,145.6888,Victoria,Bass Coast (S)
English Oak,-37.8091,145.2263,Victoria,Maroondah (C)
English Oak,-37.6719,143.9463,Victoria,Moorabool (S)
English Oak,-38.172,146.4943,Victoria,Latrobe (C)
English Oak,-38.1,146.4,Victoria,Baw Baw (S)
English Oak,-37.6936,145.1202,Victoria,Banyule (C)
English Oak,-37.8254,145.1934,Victoria,Whitehorse (C)
English Oak,-37.8636,145.0616,Victoria,Stonnington (C)
English Oak,-37.3402,143.9458,Victoria,Hepburn (S)
English Oak,-38.4644,145.95,Victoria,South Gippsland (S)
English Oak,-37.7477,145.1583,Victoria,Manningham (C)
English Oak,-37.6352,143.693,Victoria,Golden Plains (S)
English Oak,-36.1513,146.6455,Victoria,Indigo (S)
English Oak,-37.8011,145.0144,Victoria,Boroondara (C)
English Oak,-38.4291,145.0491,Victoria,Mornington Peninsula (S)
English Oak,-37.9538,145.0872,Victoria,Kingston (C)
English Oak,-38.0766,145.2327,Victoria,Greater Dandenong (C)
English Oak,-37.8316,144.8791,Victoria,Hobsons Bay (C)
English Oak,-37.1083,144.2361,Victoria,Mount Alexander (S)
English Oak,-37.015,145.7808,Victoria,Mansfield (S)
English Oak,-38.0163,145.3072,Victoria,Casey (C)
English Oak,-38.24,143.9897,Victoria,Surf Coast (S)
English Oak,-36.3902,145.3719,Victoria,Greater Shepparton (C)
English Oak,-37.8408,145.2692,Victoria,Knox (C)
English Oak,-37.7988,145.0138,Victoria,Yarra (C)
